key,actual,actual_F,avg_F,avgDifference,minValue_F,minValueRank_F,maxValue_F,maxValueRank_F,ticker
liquidezcorrente,1.15,1.15,1.08,6.693174287607687,0.65,2014,1.60,2020,CMIG4
liquidezcorrente,1.57,1.57,1.55,1.4539579967689822,0.94,2016,2.17,2009,ELET3
liquidezcorrente,1.28,1.28,1.27,0.7378258730939499,0.68,2009,1.92,2011,ENGI11
liquidezcorrente,1.39,1.39,1.48,-5.762711864406779,0.93,2017,2.10,2009,CPLE6
dividaliquida_patrimonioliquido,0.28,0.28,0.75,-62.732919254658384,0.28,2024,1.07,2011,CMIG4
dividaliquida_patrimonioliquido,0.28,0.28,0.45,-38.12154696132597,0.17,2022,0.68,2021,AURE3
dividaliquida_patrimonioliquido,1.09,1.09,1.50,-27.54466140423764,0.94,2020,2.13,2014,CPFE3
dividaliquida_patrimonioliquido,0.38,0.38,0.51,-26.034063260340634,0.20,2009,0.93,2015,ELET3
dividaliquida_patrimonioliquido,1.52,1.52,1.82,-16.368638239339752,0.94,2009,3.01,2014,ENGI11
dividaliquida_patrimonioliquido,1.15,1.15,1.33,-13.572060123784262,0.65,2018,3.35,2008,ALUP11
dividaliquida_patrimonioliquido,1.42,1.42,1.42,-0.04399472063352398,-0.15,2009,4.41,2014,ENEV3
dividaliquida_ebitda,0.86,0.86,2.35,-63.3938706015891,0.86,2024,4.99,2016,CMIG4
dividaliquida_ebitda,1.7,1.70,2.92,-41.833941605839414,1.69,2022,4.26,2012,CPFE3
dividaliquida_ebitda,2.8,2.80,3.40,-17.593198168737736,2.80,2024,4.13,2019,ENGI11
dividaliquida_ebitda,5.37,5.37,6.12,-12.207084468664851,5.37,2024,7.01,2022,SRNA3
dividaliquida_ebitda,1.81,1.81,1.92,-5.60625814863103,1.34,2022,2.68,2021,AURE3
dividaliquida_ebitda,0.0,0.00,0.00,0.0,0.00,0,0.00,0,AESB3
dividaliquida_ebitda,0.0,0.00,2.75,0.0,2.41,2019,3.16,2020,COCE5
dividaliquida_ebit,10.19,10.19,8.113.02,-99.87439942216339,10.19,2024,24.318.68,2021,AESB3
dividaliquida_ebit,1.01,1.01,2.95,-65.80907244414354,1.01,2024,7.30,2016,CMIG4
dividaliquida_ebit,2.05,2.05,3.80,-46.07037158829333,1.98,2023,5.96,2012,CPFE3
dividaliquida_ebit,3.49,3.49,4.40,-20.62544420753376,2.65,2009,6.16,2019,ENGI11
dividaliquida_ebit,7.45,7.45,8.79,-15.196357427433124,6.24,2021,11.87,2022,SRNA3
dividaliquida_ebit,2.73,2.73,3.20,-14.6875,1.90,2022,5.27,2021,AURE3
dividaliquida_ebit,3.57,3.57,3.66,-2.409021014864172,0.88,2010,6.80,2017,NEOE3
