key,actual,actual_F,avg_F,avgDifference,minValue_F,minValueRank_F,maxValue_F,maxValueRank_F,ticker
p_ativo,0.6729,0.67,1.58,-57.48740385070997,0.67,2024,2.80,2021,BLAU3
p_ativo,0.5145,0.51,1.19,-56.71482140281717,0.51,2024,2.43,2019,EZTC3
p_capitlgiro,1.5291,1.53,23.29,-93.4349380383445,-29.84,2017,287.43,2012,BRKM5
p_capitlgiro,1.824,1.82,6.07,-69.92909739011037,1.82,2024,17.72,2013,CSAN3
p_capitlgiro,2.1402,2.14,5.28,-59.48938683263109,2.14,2024,13.87,2016,PNVL3
p_capitlgiro,1.3278,1.33,2.93,-54.71350613915416,1.33,2024,5.54,2020,EZTC3
p_capitlgiro,4.6579,4.66,9.26,-49.682855471035694,4.66,2024,18.16,2023,NEOE3
ev_ebitda,6.4783,6.48,13.07,-50.42755971488367,6.48,2024,26.11,2016,PNVL3
ev_ebitda,12.0186,12.02,21.55,-44.23192569824936,10.84,2022,40.76,2019,EZTC3
ev_ebitda,4.8585,4.86,8.67,-43.976670494956345,4.86,2024,16.04,2013,CSAN3
ev_ebitda,10.7868,10.79,19.21,-43.86015313706142,10.79,2024,39.16,2020,TFCO4
ev_ebitda,8.8447,8.84,15.00,-41.05443169746336,8.84,2024,25.87,2020,VIVA3
ev_ebit,15.7505,15.75,114.71,-86.26986315691093,4.70,2015,1.406.27,2018,EZTC3
ev_ebit,12.8685,12.87,23.19,-44.506111507850264,12.87,2024,49.94,2020,TFCO4
ev_ebit,11.2902,11.29,19.59,-42.36684799716859,11.29,2024,33.21,2020,VIVA3
ev_ebit,6.3027,6.30,10.46,-39.77102316047559,4.06,2011,24.44,2013,CSAN3
ev_ebit,8.7316,8.73,12.19,-28.345225736829796,8.73,2024,18.53,2021,VAMO3
peg_Ratio,0.53835701,0.54,4.98,-89.19099920976261,0.54,2024,9.42,2023,VIVA3
peg_Ratio,0.26111727,0.26,1.08,-75.86285789144598,0.26,2024,1.90,2023,BRBI11
peg_Ratio,5.91582826,5.92,10.70,-44.69810524791081,5.92,2024,15.48,2023,TTEN3
peg_Ratio,0.0368183,0.04,0.06,-37.191722844742436,0.04,2024,0.08,2023,SIMH3
peg_Ratio,0.51772367,0.52,0.73,-28.9578981474553,-3.53,2015,3.34,2016,PNVL3
roe,17.03,17.03%,9.79%,73.89750462697044,-65.29%,2020,52.61%,2021,KLBN11
roe,13.69,13.69%,10.01%,36.74616056935947,2.34%,2008,21.47%,2010,TIMS3
roe,14.11,14.11%,11.39%,23.900993359310686,2.64%,2017,20.03%,2009,NEOE3
roe,23.73,23.73%,20.37%,16.49484536082474,12.52%,2020,23.73%,2024,VIVA3
roe,21.84,21.84%,21.43%,1.9064124783362217,17.82%,2018,30.21%,2020,BRBI11
roic,12.36,12.36%,8.02%,54.15075220204225,-0.42%,2010,14.67%,2023,TIMS3
roic,23.04,23.04%,17.51%,31.56942990387361,12.05%,2020,23.04%,2024,VIVA3
roic,9.04,9.04%,7.39%,22.255092553461246,3.83%,2020,11.17%,2022,SIMH3
roic,11.19,11.19%,9.20%,21.671763506625894,5.44%,2017,13.93%,2009,NEOE3
roic,13.65,13.65%,13.71%,-0.4194783877439358,10.59%,2021,17.70%,2018,GMAT3
lpa,3.6744,3.67,1.48,147.60226993776442,0.05,2016,3.89,2022,NEOE3
lpa,1.9791,1.98,1.36,45.03859683408247,0.62,2020,1.98,2024,VIVA3
lpa,0.1219,0.12,0.09,34.69613259668508,0.03,2020,0.12,2024,TFCO4
lpa,0.5686,0.57,0.45,25.26988323419255,0.33,2020,0.57,2024,GMAT3
lpa,1.759,1.76,1.49,18.012109827074354,1.33,2021,1.76,2024,BRBI11
margemliquida,58.68,58.68%,39.01%,50.41746008495679,7.25%,2020,62.87%,2023,BRBI11
margemliquida,16.43,16.43%,14.39%,14.146765089014329,9.66%,2020,17.75%,2021,TFCO4
margemliquida,10.0,10.00%,9.37%,6.716467684919629,1.98%,2017,22.24%,2009,NEOE3
margemliquida,8.77,8.77%,8.56%,2.5056614800204544,-22.03%,2015,35.00%,2016,KLBN11
margemliquida,9.4,9.40%,9.79%,-4.018259354916212,1.37%,2008,20.84%,2019,TIMS3
receitas_cagr5,22.62,22.62%,5.60%,303.60097323600974,-19.26%,2018,22.62%,2024,EZTC3
receitas_cagr5,30.82,30.82%,11.22%,174.59906042442896,-20.26%,2016,38.66%,2022,CSAN3
receitas_cagr5,7.02,7.02%,2.77%,153.58217940999398,-3.14%,2018,8.67%,2013,TIMS3
receitas_cagr5,31.57,31.57%,20.81%,51.67940598383927,10.36%,2020,31.57%,2024,SIMH3
receitas_cagr5,14.27,14.27%,11.15%,27.950766221062928,3.13%,2020,15.57%,2017,CCRO3
lucros_cagr5,22.34,22.34%,3.86%,478.6202024958794,-30.13%,2018,23.83%,2014,EZTC3
lucros_cagr5,12.56,12.56%,3.41%,268.52493998399575,-26.23%,2020,18.12%,2022,CCRO3
lucros_cagr5,63.45,63.45%,31.53%,101.23691722169363,-13.88%,2018,81.33%,2023,KLBN11
lucros_cagr5,23.76,23.76%,16.21%,46.55153078389593,-29.51%,2015,66.92%,2021,NEOE3
lucros_cagr5,40.88,40.88%,34.93%,17.034068136272545,23.35%,2022,40.88%,2024,TFCO4
liquidezcorrente,10.27,10.27,5.38,91.06976744186046,2.30,2014,10.27,2024,EZTC3
liquidezcorrente,1.52,1.52,0.92,65.10522742701968,0.48,2012,1.52,2024,CCRO3
liquidezcorrente,1.31,1.31,1.14,14.472965592572365,0.71,2016,1.56,2021,BRKM5
liquidezcorrente,3.98,3.98,3.52,12.930685042561816,1.91,2019,4.95,2021,BLAU3
liquidezcorrente,2.96,2.96,2.66,11.13892365456821,2.35,2021,2.96,2024,VIVA3
dividaliquida_patrimonioliquido,0.09,0.09,0.40,-77.25631768953069,-0.34,2021,2.15,2020,BLAU3
dividaliquida_patrimonioliquido,0.1,0.10,0.27,-62.365591397849464,-0.13,2021,0.65,2019,TTEN3
dividaliquida_patrimonioliquido,1.89,1.89,2.01,-5.882352941176471,0.89,2009,3.42,2016,CCRO3
dividaliquida_patrimonioliquido,2.09,2.09,2.15,-2.589331952356292,0.85,2017,4.12,2020,VAMO3
dividaliquida_patrimonioliquido,-1.54,-1.54,-1.64,6.097560975609756,-2.42,2020,-1.20,2021,BRBI11
dividaliquida_ebitda,-36.94,-36.94,-33.19,-11.290201099646005,-73.63,2023,-8.90,2021,BRBI11
dividaliquida_ebitda,0.0,0.00,4.03,0.0,3.75,2021,4.39,2020,SIMH3
dividaliquida_ebitda,3.2,3.20,2.95,8.597285067873303,1.69,2012,5.80,2013,CSAN3
dividaliquida_ebitda,3.47,3.47,3.05,13.817138171381714,2.00,2018,3.88,2016,VAMO3
dividaliquida_ebitda,4.24,4.24,3.72,13.997647454209377,1.75,2012,6.87,2015,KLBN11
dividaliquida_ebit,-48.47,-48.47,-29.75,-62.916546624411794,-118.33,2023,-5.06,2019,BRBI11
dividaliquida_ebit,6.61,6.61,7.35,-10.006807351940095,1.99,2012,44.38,2009,KLBN11
dividaliquida_ebit,6.96,6.96,7.33,-4.991041719989762,4.48,2010,10.57,2016,SIMH3
dividaliquida_ebit,0.63,0.63,0.63,-0.45146726862302483,-0.82,2021,1.76,2019,TTEN3
dividaliquida_ebit,4.55,4.55,4.08,11.428571428571429,0.00,2017,5.90,2016,VAMO3
